GPT_Category,Positive_Percentage,Negative_Percentage,Neutral_Percentage,Total_Comments
Comment_ask a genuine question,64.68271883918382,13.80143975038627,21.515841410429907,5670
Comment_ask a rhetorical question,65.37891418507132,13.099288386226071,21.5217974287026,4656
Comment_provide a fact or claim,62.66567723228725,17.692228241210323,19.64209452650243,37281
Comment_provide an observation,60.65474901613109,17.90123662363552,21.44401436023338,17601
Comment_express their opinion,62.32564548466594,17.648225292492562,20.026129222841497,41695
Comment_express others opinions,63.91002689599513,15.865928276212832,20.22404482779204,8972
Critique_money aid allocation,63.42605754850219,16.36043174906614,20.21351070243167,11586
Critique_government critique,62.368979105828075,17.165496343643596,20.465524550528322,14694
Critique_societal critique,61.462130685070434,17.738729195603778,20.79914011932579,31440
Response_solutions/interventions,62.9582334758618,17.454152768332836,19.587613755805354,17347
Perception_media portrayal,66.65009070555666,12.513454134678735,20.8364551597646,3474
Perception_not in my backyard,66.18042048450411,12.647343168039992,21.172236347455907,4290
Perception_harmful generalization,63.167875874703775,15.559517224722851,21.27260690057338,12303
Perception_deserving/undeserving,59.80752812171483,16.454555196622614,23.737916681662554,13849
Racist_Flag,37.57183908045977,20.1867816091954,42.241379310344826,69
