category,bert-base-uncased,roberta-base,modernbert-base,llama,phi4,qwen
ask a genuine question,3.7087912087912103,-1.175658183667337,-1.0996738977932143,-2.5961393888239224,14.030203018768484,3.629767856105061
ask a rhetorical question,-2.197802197802198,1.746696497840662,0.540052871494489,26.725629943799245,26.637108863430342,-2.716315251864482
provide a fact or claim,3.2967032967033036,6.614526733931987,4.765508450555217,8.3766540517987,10.814071706607661,5.837677328039373
provide an observation,9.615384615384615,13.942561046511226,19.111018723661356,-2.5097506704991903,3.5843334349890488,-2.6166644267358263
express their opinion,5.444555444555453,9.780125313030535,6.115063954898858,45.0885690541183,46.22674342243153,43.207095957943594
express others opinions,,29.666083027067007,10.07560123561807,62.147151953115674,63.03648001635679,51.07995827722635
money aid allocation,10.778926955397544,3.102187115303172,4.527461158255754,37.23876682655375,64.29089936638361,30.76924307403012
government critique,14.333492594362163,1.8833033649967281,7.890743732401212,18.14078648749836,52.63136836938459,30.981243132302826
societal critique,13.186813186813188,16.382792571607663,20.464924706666075,47.077932161404625,48.8999701446303,14.309906614415121
solutions/interventions,21.275236391515456,13.374682668160931,9.789256891467305,47.74687971396265,43.94047325809967,13.49116228977362
personal interaction,2.93040293040293,5.357638293565068,4.788050152370782,-1.0032209335227291,9.886107129718376,-2.3787150046689742
media portrayal,0.0,-1.126251069042831,-0.9755783541381442,-0.9755783541381442,-0.9755783541381442,-0.9755783541381442
not in my backyard,-1.098901098901099,-0.1807244370173433,-0.008496461585706487,3.0406283266695167,2.405393995783012,-1.914199454245221
harmful generalization,-1.6483516483516485,9.916545442861231,5.349028076048932,23.94393907656634,20.91110234807744,30.009612533544143
deserving/undeserving,-1.098901098901099,20.09229011517341,19.663559171568323,1.9763322108859867,8.152221538949227,1.2352254915183978
