category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.2028985507246377,0.11666666666666667,0.7777777777777778,0.35000000000000003,34
ask a rhetorical question,0.0,0.0,0.0,0.5,68
provide a fact or claim,0.7627118644067796,0.9375,0.6428571428571429,0.75,0
provide an observation,0.0,0.0,0.0,0.5,69
express their opinion,0.36065573770491804,0.5789473684210527,0.2619047619047619,0.6000000000000001,0
express others opinions,0.0,0.0,0.0,0.5,0
money aid allocation,0.3125,0.3125,0.3125,0.35000000000000003,33
government critique,0.15384615384615385,0.14285714285714285,0.16666666666666666,0.4,41
societal critique,0.07894736842105263,0.0410958904109589,1.0,0.2,0
solutions/interventions,0.5294117647058824,0.5625,0.5,0.45,0
personal interaction,0.36363636363636365,0.2222222222222222,1.0,0.35000000000000003,70
media portrayal,0.0,0.0,0.0,0.5,0
not in my backyard,0.0,0.0,0.0,0.30000000000000004,64
harmful generalization,0.0,0.0,0.0,0.5,0
deserving/undeserving,0.14814814814814814,0.08333333333333333,0.6666666666666666,0.35000000000000003,62
racist,0.0,0.0,0.0,0.5,0
