Category,Full_Category,Count,Prevalence_Percent,Mean_Engagement,Median_Engagement,Importance_Score
express their opinion,Comment_express their opinion,2937,81.69680111265647,0.017822537714657742,0.0,1.4560443189972125
provide a fact or claim,Comment_provide a fact or claim,2345,65.22948539638386,0.015546363692989494,0.0,1.0140813034787306
societal critique,Critique_societal critique,1721,47.872044506258696,0.017504397860654282,0.0,0.8379713134405012
harmful generalization,Perception_harmful generalization,1414,39.33240611961057,0.018613106140313074,0.0,0.732098249858211
provide an observation,Comment_provide an observation,1475,41.02920723226704,0.017753774825550857,0.000982689545695064,0.7284233064725317
government critique,Critique_government critique,1180,32.82336578581363,0.018089488727518657,0.0,0.5937579053816971
personal interaction,Perception_personal interaction,712,19.80528511821975,0.018453905324487683,0.0017972250490341712,0.3654848564961121
deserving/undeserving,Perception_deserving/undeserving,649,18.052851182197497,0.017734754665139626,0.0,0.32016288672254845
money aid allocation,Critique_money aid allocation,608,16.91237830319889,0.017337211932398445,0.0,0.29321348692345633
solutions/interventions,Response_solutions/interventions,792,22.030598052851182,0.012883715445054641,0.0,0.28383595639730946
media portrayal,Perception_media portrayal,348,9.680111265646731,0.020096271907478022,0.0014855832776170647,0.19453414808907793
express others opinions,Comment_express others opinions,433,12.044506258692628,0.016095841311968364,0.0013201320132013201,0.19386646142092634
ask a rhetorical question,Comment_ask a rhetorical question,413,11.48817802503477,0.01633688391311176,0.0,0.18768103076815457
not in my backyard,Perception_not in my backyard,263,7.3157162726008345,0.0160301129678294,0.0,0.1172717582903792
ask a genuine question,Comment_ask a genuine question,222,6.1752433936022255,0.013080687636325817,0.0,0.08077642990999531
racist,Racist_Flag,6,0.16689847009735745,0.0,0.0,0.0
