category,model,mean_delta_pp,mean_fnr_pct,mean_recall_pct
provide a fact or claim,phi4,-61.8926875,74.469225,25.530775000000006
provide a fact or claim,llama,-55.077512500000005,67.69156249999999,32.3084375
provide a fact or claim,grok,-34.3479875,47.890475,52.10952499999999
provide a fact or claim,qwen,-23.183899999999998,33.5168875,66.48311249999999
express their opinion,grok,-20.1734625,64.4721875,35.5278125
solutions/interventions,phi4,-19.871862500000002,67.1260875,32.8739125
express their opinion,phi4,-16.3773,49.297825,50.702175000000004
money aid allocation,phi4,-15.155037500000002,89.2447875,10.755212499999999
money aid allocation,llama,-10.135825,81.42937500000001,18.570625
provide a fact or claim,gpt4,-7.615787499999999,17.383412500000002,82.6165875
ask a rhetorical question,phi4,-7.242024999999999,95.92491249999999,4.0750875
solutions/interventions,grok,-6.9408625,61.7087375,38.2912625
money aid allocation,grok,-6.6827125,79.94291249999999,20.057087499999998
solutions/interventions,llama,-5.818624999999999,57.15563749999999,42.8443625
express others opinions,phi4,-5.5038375,98.519225,1.4807750000000002
ask a genuine question,phi4,-4.870000000000001,80.9503,19.0497
provide an observation,phi4,-4.862150000000001,92.37467500000001,7.625324999999999
ask a rhetorical question,llama,-4.067449999999999,89.102575,10.897425
ask a genuine question,grok,-2.9077875,89.92688749999999,10.0731125
personal interaction,phi4,-2.8729999999999998,85.31145,14.68855
ask a rhetorical question,qwen,-2.7749250000000005,81.5184875,18.4815125
ask a rhetorical question,grok,-1.975725,81.94723749999999,18.0527625
government critique,grok,-1.5671750000000002,83.5556625,16.4443375
personal interaction,llama,-1.5582500000000004,92.9292875,7.0707125
provide a fact or claim,gemini,-1.1657375000000005,14.935262499999999,85.06473749999999
ask a genuine question,gemini,-0.601175,88.6293875,11.3706125
ask a genuine question,qwen,-0.48407500000000003,48.3004375,51.699562500000006
harmful generalization,phi4,-0.4578499999999999,74.1604125,25.8395875
provide an observation,llama,-0.2225249999999998,83.9557875,16.0442125
harmful generalization,grok,-0.11796250000000001,91.0782125,8.9217875
ask a rhetorical question,gpt4,-0.056387500000000014,70.77506249999999,29.224937500000003
ask a genuine question,llama,0.4586,66.61548749999999,33.3845125
media portrayal,grok,1.1865999999999999,83.928575,16.071425
ask a genuine question,gpt4,1.1963125000000001,67.1418125,32.8581875
personal interaction,grok,1.512575,79.64016249999999,20.3598375
money aid allocation,gpt4,1.9665875,56.7323625,43.267637500000006
societal critique,grok,2.2209375,84.593025,15.406975000000001
express others opinions,grok,2.3774250000000006,83.2664375,16.733562499999998
express others opinions,llama,2.4049625000000003,82.4255625,17.574437500000002
not in my backyard,grok,2.441375,61.37820000000001,13.6218
deserving/undeserving,grok,2.6382375,76.9886375,23.011362499999997
solutions/interventions,qwen,3.273025,29.447887500000004,70.55211249999999
ask a rhetorical question,gemini,3.3251250000000003,73.6564625,26.343537499999996
societal critique,phi4,3.7742375000000004,76.93207500000001,23.067925
not in my backyard,gpt4,3.9603,47.19551250000001,27.804487500000004
solutions/interventions,gpt4,4.2355625,41.7619375,58.2380625
deserving/undeserving,phi4,4.5484,72.1590875,27.840912499999998
media portrayal,gemini,4.69095,87.67857500000001,12.321425
not in my backyard,gemini,4.800275,69.551275,5.4487250000000005
money aid allocation,qwen,6.04345,41.170125,58.829875
express their opinion,gemini,6.9657375,37.19375,62.80625
government critique,phi4,9.2156125,53.5923,46.4077
media portrayal,gpt4,9.2489375,77.678575,22.321425
personal interaction,gemini,9.4588875,67.484475,32.515525000000004
harmful generalization,gemini,9.7716,71.0373625,28.9626375
harmful generalization,gpt4,9.823799999999999,60.122524999999996,39.877475
express others opinions,gpt4,10.4978375,71.031,28.969
express their opinion,gpt4,10.7350125,31.466562500000002,68.5334375
personal interaction,gpt4,11.000975,59.36448750000001,40.6355125
media portrayal,llama,11.0319375,75.8928625,24.1071375
government critique,gpt4,11.6772625,51.08695000000001,48.91305
express others opinions,gemini,11.9880125,74.05353749999999,25.9464625
deserving/undeserving,gemini,11.9904375,72.72728749999999,27.272712499999997
money aid allocation,gemini,13.1953,56.89338749999999,43.106612500000004
express others opinions,qwen,14.3539125,72.99442499999999,27.005574999999997
not in my backyard,phi4,14.392425000000001,33.8141125,41.1858875
not in my backyard,llama,15.878275,40.464749999999995,34.53525
societal critique,qwen,16.321012500000002,55.7469875,44.2530125
express their opinion,llama,16.3875,20.61315,79.38685
societal critique,gemini,17.816475,65.7934,34.2066
deserving/undeserving,gpt4,17.8203375,57.244325,42.755675
media portrayal,phi4,17.837112500000003,63.3928625,36.6071375
provide an observation,grok,18.1733625,70.17165000000001,29.828350000000004
solutions/interventions,gemini,19.029337499999997,34.1151125,65.8848875
personal interaction,qwen,19.1656375,28.58795,71.41205000000001
government critique,llama,19.4792375,47.931087500000004,52.06891250000001
deserving/undeserving,qwen,20.0767875,40.9090875,59.0909125
harmful generalization,llama,20.1091625,41.090512499999996,58.909487500000004
deserving/undeserving,llama,20.49375,57.3863625,42.6136375
societal critique,llama,21.8355,43.453362500000004,56.546637499999996
provide an observation,gemini,22.143250000000002,59.913062499999995,40.0869375
media portrayal,qwen,22.550175,29.464287499999998,70.5357125
government critique,gemini,22.9733375,54.56255,45.43745
express their opinion,qwen,25.2303,11.1155375,88.8844625
government critique,qwen,26.899337499999998,15.7999875,84.2000125
harmful generalization,qwen,27.235599999999998,29.172125000000005,70.827875
not in my backyard,qwen,27.383174999999998,18.349375000000002,56.650625
societal critique,gpt4,27.5501625,44.2719375,55.7280625
provide an observation,qwen,36.697900000000004,43.5879125,56.4120875
provide an observation,gpt4,36.7749375,38.083924999999994,61.916075000000006
