category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.2127659574468085,0.13157894736842105,0.5555555555555556,0.30000000000000004,34
ask a rhetorical question,0.0,0.0,0.0,0.5,68
provide a fact or claim,0.9787234042553191,0.971830985915493,0.9857142857142858,0.75,0
provide an observation,0.0,0.0,0.0,0.1,69
express their opinion,0.7433628318584071,0.5915492957746479,1.0,0.35000000000000003,0
express others opinions,0.0,0.0,0.0,0.5,0
money aid allocation,0.3333333333333333,0.5,0.25,0.6000000000000001,33
government critique,0.0,0.0,0.0,0.5,41
societal critique,0.06060606060606061,0.031746031746031744,0.6666666666666666,0.05,0
solutions/interventions,0.75,0.6818181818181818,0.8333333333333334,0.45,0
personal interaction,0.3076923076923077,0.18181818181818182,1.0,0.2,70
media portrayal,0.0,0.0,0.0,0.5,0
not in my backyard,0.2,0.2,0.2,0.35000000000000003,64
harmful generalization,0.0,0.0,0.0,0.5,0
deserving/undeserving,0.0,0.0,0.0,0.55,62
racist,0.0,0.0,0.0,0.5,0
