category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.25,0.2857142857142857,0.2222222222222222,0.35000000000000003,67
ask a rhetorical question,0.625,0.625,0.625,0.4,68
provide a fact or claim,0.9720670391061452,0.9560439560439561,0.9886363636363636,0.5,0
provide an observation,0.0,0.0,0.0,0.5,86
express their opinion,0.8524590163934426,0.7647058823529411,0.9629629629629629,0.35000000000000003,0
express others opinions,0.136986301369863,0.07575757575757576,0.7142857142857143,0.1,78
money aid allocation,0.36065573770491804,0.23404255319148937,0.7857142857142857,0.2,39
government critique,0.3448275862068966,0.2631578947368421,0.5,0.45,46
societal critique,0.2988505747126437,0.17567567567567569,1.0,0.1,68
solutions/interventions,0.5217391304347826,0.631578947368421,0.4444444444444444,0.55,0
personal interaction,0.0,0.0,0.0,0.5,87
media portrayal,0.42857142857142855,0.75,0.3,0.5,45
not in my backyard,0.3050847457627119,0.1836734693877551,0.9,0.15000000000000002,66
harmful generalization,0.3225806451612903,0.22727272727272727,0.5555555555555556,0.25,69
deserving/undeserving,0.3333333333333333,0.21428571428571427,0.75,0.15000000000000002,63
racist,0.2,0.5,0.125,0.45,82
