Category,Full_Category,N_Category,Mean_Impressions,Median_Impressions,Q25_Impressions,Q75_Impressions,Overall_Median_Impressions,Overall_Q25_Impressions,Overall_Q75_Impressions,Difference,P_Value,P_Value_Corrected,Significant,Direction
deserving/undeserving,Perception_deserving/undeserving,273,5683.274725274725,71.0,32.0,247.0,142.0,43.0,628.0,-71.0,1.3202529544303246e-07,2.1124047270885194e-06,True,LOWER
harmful generalization,Perception_harmful generalization,644,3042.7903726708073,91.5,35.75,417.0,142.0,43.0,628.0,-50.5,3.562981290194621e-09,5.7007700643113935e-08,True,LOWER
ask a genuine question,Comment_ask a genuine question,93,7668.817204301075,94.0,41.0,308.0,142.0,43.0,628.0,-48.0,0.09514681406924665,1.0,False,NS
societal critique,Critique_societal critique,802,9001.350374064838,104.5,39.0,442.75,142.0,43.0,628.0,-37.5,4.109265434349323e-06,6.574824694958916e-05,True,LOWER
express their opinion,Comment_express their opinion,1358,5615.610456553755,109.0,37.0,448.5,142.0,43.0,628.0,-33.0,7.417582472487662e-21,1.186813195598026e-19,True,LOWER
government critique,Critique_government critique,540,9858.035185185185,111.5,35.0,547.0,142.0,43.0,628.0,-30.5,0.007313882784174351,0.11702212454678962,False,NS
not in my backyard,Perception_not in my backyard,114,1198.4122807017543,121.0,39.0,444.75,142.0,43.0,628.0,-21.0,0.19262116663871853,1.0,False,NS
ask a rhetorical question,Comment_ask a rhetorical question,170,26366.623529411765,122.5,37.25,572.5,142.0,43.0,628.0,-19.5,0.28098664415671526,1.0,False,NS
money aid allocation,Critique_money aid allocation,280,18696.85357142857,127.5,36.75,902.0,142.0,43.0,628.0,-14.5,0.6693123355408584,1.0,False,NS
provide an observation,Comment_provide an observation,742,5323.526954177898,138.0,40.25,590.5,142.0,43.0,628.0,-4.0,0.5669220179728505,1.0,False,NS
provide a fact or claim,Comment_provide a fact or claim,1108,7219.4034296028885,153.5,44.0,843.5,142.0,43.0,628.0,11.5,0.004078616299403698,0.06525786079045917,False,NS
personal interaction,Perception_personal interaction,370,6510.721621621622,161.0,44.0,590.75,142.0,43.0,628.0,19.0,0.7430238946576244,1.0,False,NS
media portrayal,Perception_media portrayal,182,3409.434065934066,173.5,53.25,965.75,142.0,43.0,628.0,31.5,0.254360171364133,1.0,False,NS
express others opinions,Comment_express others opinions,224,3461.7901785714284,182.0,44.75,724.5,142.0,43.0,628.0,40.0,0.14927975931354398,1.0,False,NS
solutions/interventions,Response_solutions/interventions,386,2741.4326424870465,249.5,70.25,1141.25,142.0,43.0,628.0,107.5,2.8378739671168213e-08,4.540598347386914e-07,True,HIGHER
