category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.28,0.17073170731707318,0.7777777777777778,0.30000000000000004,67
ask a rhetorical question,0.34782608695652173,0.26666666666666666,0.5,0.35000000000000003,68
provide a fact or claim,0.896969696969697,0.961038961038961,0.8409090909090909,0.75,0
provide an observation,0.0,0.0,0.0,0.5,86
express their opinion,0.7818181818181819,0.7678571428571429,0.7962962962962963,0.4,0
express others opinions,0.12121212121212122,0.06779661016949153,0.5714285714285714,0.30000000000000004,78
money aid allocation,0.2962962962962963,0.2,0.5714285714285714,0.35000000000000003,39
government critique,0.42424242424242425,0.30434782608695654,0.7,0.35000000000000003,46
societal critique,0.24242424242424243,0.2,0.3076923076923077,0.35000000000000003,68
solutions/interventions,0.4827586206896552,0.45161290322580644,0.5185185185185185,0.45,0
personal interaction,0.0,0.0,0.0,0.5,87
media portrayal,0.47058823529411764,0.3870967741935484,0.6,0.4,45
not in my backyard,0.0,0.0,0.0,0.4,66
harmful generalization,0.4827586206896552,0.35,0.7777777777777778,0.35000000000000003,69
deserving/undeserving,0.4117647058823529,0.3181818181818182,0.5833333333333334,0.35000000000000003,63
racist,0.0,0.0,0.0,0.35000000000000003,82
