Category,Q1 (Lowest),Q2,Q3,Q4 (Highest)
express their opinion,83.28895344145889,83.29795918367347,83.40606467494685,87.37688214649609
societal critique,74.50980392156863,70.10612244897959,71.34385140427436,76.48590512849542
provide a fact or claim,66.07762446542404,69.3061224489796,69.39688933646637,72.26310426808558
provide an observation,31.792140724602596,38.36734693877551,39.398008280183504,41.42420468696932
deserving/undeserving,30.057290405874284,31.68979591836735,33.84804744321361,37.439148647118756
harmful generalization,25.256193012184298,26.563265306122446,28.09667673716012,33.60126797237631
government critique,28.088437020898894,27.983673469387753,26.586102719033235,30.7822936714593
solutions/interventions,25.191640442185104,26.77551020408163,26.10495692066689,27.216121363070307
money aid allocation,21.13289760348584,22.857142857142858,22.468389839991048,22.732933318238423
express others opinions,16.17848785604777,15.902040816326531,15.676401477005705,16.92516698743349
personal interaction,12.377955297345276,14.661224489795918,14.915519749356607,16.913845805502095
not in my backyard,8.03679496489954,8.571428571428571,9.287232852187536,11.9212045737575
ask a genuine question,13.669006697329136,12.751020408163265,12.778337249636342,10.200384920185668
ask a rhetorical question,13.104171709836198,9.518367346938776,9.83551527358174,8.853164270349824
media portrayal,7.060437343661745,7.559183673469387,6.5010629965312745,6.724782067247821
racist,0.19365770999757928,0.17959183673469387,0.15665212039834397,0.10189063738254274
