category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.0,0.0,0.0,0.4,0
ask a rhetorical question,0.0,0.0,0.0,0.5,0
provide a fact or claim,0.920863309352518,0.927536231884058,0.9142857142857143,0.55,0
provide an observation,0.05405405405405406,0.027777777777777776,1.0,0.4,0
express their opinion,0.0,0.0,0.0,0.45,0
express others opinions,0.17142857142857143,0.09523809523809523,0.8571428571428571,0.4,0
money aid allocation,0.0,0.0,0.0,0.5,0
government critique,0.10256410256410256,0.0547945205479452,0.8,0.4,0
societal critique,0.0,0.0,0.0,0.4,0
solutions/interventions,0.5242718446601942,0.3698630136986301,0.9,0.5,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,0
not in my backyard,0.0,0.0,0.0,0.25,0
harmful generalization,0.0,0.0,0.0,0.5,0
deserving/undeserving,0.0,0.0,0.0,0.5,0
racist,0.0,0.0,0.0,0.5,0
