category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.07407407407407407,0.041666666666666664,0.3333333333333333,0.2,0
ask a rhetorical question,0.0,0.0,0.0,0.5,0
provide a fact or claim,0.9523809523809523,0.9090909090909091,1.0,0.7000000000000001,0
provide an observation,0.0,0.0,0.0,0.5,0
express their opinion,0.11764705882352941,0.5,0.06666666666666667,0.35000000000000003,0
express others opinions,0.07142857142857142,0.04081632653061224,0.2857142857142857,0.25,0
money aid allocation,0.44,0.3548387096774194,0.5789473684210527,0.4,0
government critique,0.0,0.0,0.0,0.5,0
societal critique,0.0,0.0,0.0,0.5,0
solutions/interventions,0.6222222222222222,0.4666666666666667,0.9333333333333333,0.5,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,0
not in my backyard,0.0,0.0,0.0,0.2,0
harmful generalization,0.0,0.0,0.0,0.5,0
deserving/undeserving,0.0,0.0,0.0,0.5,0
racist,0.0,0.0,0.0,0.25,0
