category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.075,0.03896103896103896,1.0,0.15000000000000002,0
ask a rhetorical question,0.03278688524590164,0.01694915254237288,0.5,0.2,0
provide a fact or claim,0.6,1.0,0.42857142857142855,0.8,0
provide an observation,0.13333333333333333,0.07692307692307693,0.5,0.25,0
express their opinion,0.3870967741935484,0.375,0.4,0.35000000000000003,39
express others opinions,0.17142857142857143,0.10714285714285714,0.42857142857142855,0.35000000000000003,58
money aid allocation,0.7058823529411765,0.8,0.631578947368421,0.5,5
government critique,0.5454545454545454,0.5,0.6,0.4,62
societal critique,0.06060606060606061,0.03333333333333333,0.3333333333333333,0.25,67
solutions/interventions,0.675,0.54,0.9,0.5,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,70
not in my backyard,0.0,0.0,0.0,0.2,0
harmful generalization,0.0,0.0,0.0,0.5,0
deserving/undeserving,0.0,0.0,0.0,0.5,63
racist,0.3333333333333333,0.25,0.5,0.30000000000000004,74
