category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.1111111111111111,0.06060606060606061,0.6666666666666666,0.2,0
ask a rhetorical question,0.037037037037037035,0.019230769230769232,0.5,0.25,0
provide a fact or claim,0.9558823529411765,0.9848484848484849,0.9285714285714286,0.75,0
provide an observation,0.0,0.0,0.0,0.5,0
express their opinion,0.3333333333333333,0.2857142857142857,0.4,0.45,39
express others opinions,0.16,0.08823529411764706,0.8571428571428571,0.30000000000000004,58
money aid allocation,0.5128205128205128,0.5,0.5263157894736842,0.4,5
government critique,0.25806451612903225,0.15384615384615385,0.8,0.35000000000000003,62
societal critique,0.16,0.09090909090909091,0.6666666666666666,0.35000000000000003,67
solutions/interventions,0.5918367346938775,0.4264705882352941,0.9666666666666667,0.4,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,70
not in my backyard,0.0,0.0,0.0,0.5,0
harmful generalization,0.03278688524590164,0.016666666666666666,1.0,0.2,0
deserving/undeserving,0.0,0.0,0.0,0.5,63
racist,0.0,0.0,0.0,0.5,74
