category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.1875,0.10344827586206896,1.0,0.35000000000000003,0
ask a rhetorical question,0.0,0.0,0.0,0.4,0
provide a fact or claim,0.6911764705882353,0.9791666666666666,0.5340909090909091,0.6000000000000001,0
provide an observation,0.0,0.0,0.0,0.5,0
express their opinion,0.0,0.0,0.0,0.5,0
express others opinions,0.12244897959183673,0.06593406593406594,0.8571428571428571,0.30000000000000004,0
money aid allocation,0.3902439024390244,0.2962962962962963,0.5714285714285714,0.4,0
government critique,0.20202020202020202,0.11235955056179775,1.0,0.4,0
societal critique,0.24761904761904763,0.14130434782608695,1.0,0.30000000000000004,0
solutions/interventions,0.46153846153846156,0.3,1.0,0.45,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,0
not in my backyard,0.06779661016949153,0.04081632653061224,0.2,0.30000000000000004,0
harmful generalization,0.17391304347826086,0.0963855421686747,0.8888888888888888,0.30000000000000004,0
deserving/undeserving,0.21052631578947367,0.2857142857142857,0.16666666666666666,0.4,0
racist,0.13636363636363635,0.075,0.75,0.35000000000000003,0
