category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.0,0.0,0.0,0.1,0
ask a rhetorical question,0.0,0.0,0.0,0.2,0
provide a fact or claim,0.948905109489051,0.9701492537313433,0.9285714285714286,0.7000000000000001,0
provide an observation,0.0625,0.03333333333333333,0.5,0.1,0
express their opinion,0.5185185185185185,0.5833333333333334,0.4666666666666667,0.45,39
express others opinions,0.25806451612903225,0.16666666666666666,0.5714285714285714,0.35000000000000003,58
money aid allocation,0.6818181818181818,0.6,0.7894736842105263,0.35000000000000003,5
government critique,0.13559322033898305,0.07407407407407407,0.8,0.1,62
societal critique,0.25,0.2,0.3333333333333333,0.30000000000000004,67
solutions/interventions,0.6774193548387096,0.65625,0.7,0.55,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,70
not in my backyard,0.0,0.0,0.0,0.1,0
harmful generalization,0.043478260869565216,0.022222222222222223,1.0,0.05,0
deserving/undeserving,0.0,0.0,0.0,0.5,63
racist,0.0,0.0,0.0,0.4,74
