category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.2857142857142857,0.18181818181818182,0.6666666666666666,0.30000000000000004,0
ask a rhetorical question,0.16161616161616163,0.08791208791208792,1.0,0.25,0
provide a fact or claim,0.9777777777777777,0.9565217391304348,1.0,0.75,0
provide an observation,0.0,0.0,0.0,0.5,0
express their opinion,0.8363636363636363,0.8214285714285714,0.8518518518518519,0.5,0
express others opinions,0.0,0.0,0.0,0.5,0
money aid allocation,0.0,0.0,0.0,0.5,0
government critique,0.0,0.0,0.0,0.5,0
societal critique,0.0,0.0,0.0,0.5,0
solutions/interventions,0.453781512605042,0.29347826086956524,1.0,0.4,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.35000000000000003,0
not in my backyard,0.0,0.0,0.0,0.5,0
harmful generalization,0.11267605633802817,0.06451612903225806,0.4444444444444444,0.25,0
deserving/undeserving,0.08,0.05263157894736842,0.16666666666666666,0.30000000000000004,0
racist,0.0,0.0,0.0,0.5,0
