Category,Full_Category,N_Category,Mean_Category,Overall_Mean,Median_Category,Difference,P_Value,P_Value_Corrected,Significant,Direction,Cohens_D
ask a genuine question,Comment_ask a genuine question,222,0.013080687636325817,0.01627616573639608,0.0,-0.0031954781000702644,0.1774357991160329,1.0,False,NS,-0.09080789809378194
ask a rhetorical question,Comment_ask a rhetorical question,413,0.01633688391311176,0.01627616573639608,0.0,6.0718176715678085e-05,0.9720443979834776,1.0,False,NS,0.0017254663718447327
provide a fact or claim,Comment_provide a fact or claim,2345,0.015546363692989494,0.01627616573639608,0.0,-0.0007298020434065872,0.3153367888592502,1.0,False,NS,-0.020739240736727928
provide an observation,Comment_provide an observation,1475,0.017753774825550857,0.01627616573639608,0.000982689545695064,0.001477609089154775,0.10703203336511025,1.0,False,NS,0.04199014087671649
express their opinion,Comment_express their opinion,2937,0.017822537714657742,0.01627616573639608,0.0,0.0015463719782616604,0.01730485800219328,0.2768777280350925,False,NS,0.04394421886789871
express others opinions,Comment_express others opinions,433,0.016095841311968364,0.01627616573639608,0.0013201320132013201,-0.00018032442442771773,0.9151306782478832,1.0,False,NS,-0.005124391857635329
money aid allocation,Critique_money aid allocation,608,0.017337211932398445,0.01627616573639608,0.0,0.0010610461960023632,0.45747406323774786,1.0,False,NS,0.030152412822750663
government critique,Critique_government critique,1180,0.018089488727518657,0.01627616573639608,0.0,0.0018133229911225755,0.0769647106636766,1.0,False,NS,0.05153033262388809
societal critique,Critique_societal critique,1721,0.017504397860654282,0.01627616573639608,0.0,0.0012282321242582002,0.1478085290227018,1.0,False,NS,0.03490343982413632
solutions/interventions,Response_solutions/interventions,792,0.012883715445054641,0.01627616573639608,0.0,-0.0033924502913414405,0.00681086918538365,0.1089739069661384,False,NS,-0.09640537994536107
personal interaction,Perception_personal interaction,712,0.018453905324487683,0.01627616573639608,0.0017972250490341712,0.002177739588091601,0.09911289696387637,1.0,False,NS,0.06188618679185076
media portrayal,Perception_media portrayal,348,0.020096271907478022,0.01627616573639608,0.0014855832776170647,0.0038201061710819405,0.04361926595496257,0.6979082552794011,False,NS,0.1085583443314503
not in my backyard,Perception_not in my backyard,263,0.0160301129678294,0.01627616573639608,0.0,-0.0002460527685666826,0.90980424287682,1.0,False,NS,-0.006992235288110695
harmful generalization,Perception_harmful generalization,1414,0.018613106140313074,0.01627616573639608,0.0,0.0023369404039169928,0.012629506357849651,0.20207210172559442,False,NS,0.06641029586322923
deserving/undeserving,Perception_deserving/undeserving,649,0.017734754665139626,0.01627616573639608,0.0,0.0014585889287435441,0.29138492841446095,1.0,False,NS,0.041449633092196715
racist,Racist_Flag,6,0.0,0.01627616573639608,0.0,-0.01627616573639608,0.3086160617177993,1.0,False,NS,-0.4625299730627668
