Category,Full_Category,N_Category,Mean_Category,Overall_Mean,Median_Category,Q25_Category,Q75_Category,Overall_Median,Difference,P_Value,P_Value_Corrected,Significant,Direction,Cohens_D
ask a genuine question,Comment_ask a genuine question,93,0.03122486726090679,0.03464346703513553,0.02,0.010869565217391304,0.043478260869565216,0.021739130434782608,-0.0017391304347826077,0.9837712166266359,1.0,False,NS,
ask a rhetorical question,Comment_ask a rhetorical question,170,0.039689017977147974,0.03464346703513553,0.026541122694968847,0.016143536783476443,0.052185548617305975,0.021739130434782608,0.004801992260186239,0.00010776636916607347,0.0017242619066571755,True,HIGHER,
provide a fact or claim,Comment_provide a fact or claim,1108,0.03290272821305087,0.03464346703513553,0.02127659574468085,0.00865849126718692,0.041666666666666664,0.021739130434782608,-0.00046253469010175755,0.00819186178876454,0.13106978862023264,False,NS,
provide an observation,Comment_provide an observation,742,0.0352922073688511,0.03464346703513553,0.0212152209492635,0.01011939534782574,0.04200717235383612,0.021739130434782608,-0.000523909485519107,0.7093745189171706,1.0,False,NS,
express their opinion,Comment_express their opinion,1358,0.03854550314282017,0.03464346703513553,0.02513529580807848,0.012226464982271784,0.047619047619047616,0.021739130434782608,0.003396165373295873,7.181594586287153e-39,1.1490551338059445e-37,True,HIGHER,
express others opinions,Comment_express others opinions,224,0.031113836107510274,0.03464346703513553,0.019230769230769232,0.009218463773608743,0.038571554303819755,0.021739130434782608,-0.0025083612040133763,0.39051322093985874,1.0,False,NS,
money aid allocation,Critique_money aid allocation,280,0.03764651733892233,0.03464346703513553,0.025191971035251053,0.010676201546469904,0.049940262843488646,0.021739130434782608,0.0034528406004684445,0.04634417540007037,0.7415068064011259,False,NS,
government critique,Critique_government critique,540,0.039528882774948176,0.03464346703513553,0.02702702702702703,0.013289473684210526,0.04878048780487805,0.021739130434782608,0.0052878965922444204,7.110030299576964e-09,1.1376048479323143e-07,True,HIGHER,
societal critique,Critique_societal critique,802,0.03756242982317459,0.03464346703513553,0.02564102564102564,0.013157894736842105,0.047619047619047616,0.021739130434782608,0.003901895206243032,1.0522837398150241e-11,1.6836539837040385e-10,True,HIGHER,
solutions/interventions,Response_solutions/interventions,386,0.026434980913169107,0.03464346703513553,0.01550316821175516,0.006201058201058201,0.031089928949107733,0.021739130434782608,-0.006235962223027448,5.342630873360101e-10,8.548209397376162e-09,True,LOWER,
personal interaction,Perception_personal interaction,370,0.03551129889468981,0.03464346703513553,0.020073260073260074,0.009860086509921703,0.04334489197119232,0.021739130434782608,-0.001665870361522534,0.9404811000487043,1.0,False,NS,
media portrayal,Perception_media portrayal,182,0.03842583859232061,0.03464346703513553,0.01801948051948052,0.008874100508749809,0.04329231692677071,0.021739130434782608,-0.0037196499153020895,0.3685489452762696,1.0,False,NS,
not in my backyard,Perception_not in my backyard,114,0.03698175184683449,0.03464346703513553,0.02564102564102564,0.014925373134328358,0.05416666666666667,0.021739130434782608,0.003901895206243032,0.017144478632643154,0.27431165812229047,False,NS,
harmful generalization,Perception_harmful generalization,644,0.04086790696025262,0.03464346703513553,0.02564102564102564,0.01282051282051282,0.05,0.021739130434782608,0.003901895206243032,4.425988253169939e-10,7.0815812050719024e-09,True,HIGHER,
deserving/undeserving,Perception_deserving/undeserving,273,0.04216064387426966,0.03464346703513553,0.029411764705882353,0.014925373134328358,0.05714285714285714,0.021739130434782608,0.0076726342710997444,7.188331747026101e-08,1.1501330795241762e-06,True,HIGHER,
