category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.5,0.34782608695652173,0.8888888888888888,0.30000000000000004,67
ask a rhetorical question,0.5833333333333334,0.4375,0.875,0.35000000000000003,68
provide a fact or claim,0.9777777777777777,0.9565217391304348,1.0,0.65,0
provide an observation,0.0,0.0,0.0,0.5,86
express their opinion,0.8214285714285714,0.7931034482758621,0.8518518518518519,0.4,0
express others opinions,0.18181818181818182,0.13333333333333333,0.2857142857142857,0.35000000000000003,78
money aid allocation,0.5,0.8333333333333334,0.35714285714285715,0.55,39
government critique,0.5,0.3333333333333333,1.0,0.35000000000000003,46
societal critique,0.32432432432432434,0.25,0.46153846153846156,0.35000000000000003,68
solutions/interventions,0.676923076923077,0.5789473684210527,0.8148148148148148,0.45,0
personal interaction,0.5,1.0,0.3333333333333333,0.5,87
media portrayal,0.5416666666666666,0.4642857142857143,0.65,0.4,45
not in my backyard,0.47368421052631576,0.32142857142857145,0.9,0.30000000000000004,66
harmful generalization,0.5,0.45454545454545453,0.5555555555555556,0.35000000000000003,69
deserving/undeserving,0.3076923076923077,0.2222222222222222,0.5,0.30000000000000004,63
racist,0.2222222222222222,1.0,0.125,0.45,82
