category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.0,0.0,0.0,0.2,0
ask a rhetorical question,0.0,0.0,0.0,0.2,0
provide a fact or claim,0.873015873015873,0.9821428571428571,0.7857142857142857,0.75,0
provide an observation,0.043478260869565216,0.022727272727272728,0.5,0.15000000000000002,0
express their opinion,0.0,0.0,0.0,0.45,0
express others opinions,0.2028985507246377,0.11290322580645161,1.0,0.25,0
money aid allocation,0.5294117647058824,0.6,0.47368421052631576,0.45,0
government critique,0.13793103448275862,0.07547169811320754,0.8,0.25,0
societal critique,0.0,0.0,0.0,0.35000000000000003,0
solutions/interventions,0.6440677966101694,0.6551724137931034,0.6333333333333333,0.5,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,0
not in my backyard,0.0,0.0,0.0,0.15000000000000002,0
harmful generalization,0.10526315789473684,0.05555555555555555,1.0,0.15000000000000002,0
deserving/undeserving,0.0,0.0,0.0,0.5,0
racist,0.05263157894736842,0.02702702702702703,1.0,0.15000000000000002,0
