category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.30000000000000004,0
ask a rhetorical question,0.16842105263157894,0.09195402298850575,1.0,0.2,0
provide a fact or claim,0.935672514619883,0.963855421686747,0.9090909090909091,0.7000000000000001,0
provide an observation,0.0,0.0,0.0,0.5,0
express their opinion,0.8125,0.7027027027027027,0.9629629629629629,0.45,0
express others opinions,0.1951219512195122,0.11764705882352941,0.5714285714285714,0.25,0
money aid allocation,0.2553191489361702,0.15,0.8571428571428571,0.30000000000000004,0
government critique,0.2545454545454545,0.15555555555555556,0.7,0.35000000000000003,0
societal critique,0.33962264150943394,0.225,0.6923076923076923,0.30000000000000004,0
solutions/interventions,0.43137254901960786,0.4583333333333333,0.4074074074074074,0.45,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.36036036036036034,0.21978021978021978,1.0,0.30000000000000004,0
not in my backyard,0.23255813953488372,0.13157894736842105,1.0,0.25,0
harmful generalization,0.23809523809523808,0.15151515151515152,0.5555555555555556,0.30000000000000004,0
deserving/undeserving,0.25806451612903225,0.16,0.6666666666666666,0.30000000000000004,0
racist,0.10526315789473684,0.06666666666666667,0.25,0.25,0
