Category_1,Category_2,Full_Category_1,Full_Category_2,Both_Count,Cooccurrence_Prevalence_Percent,Mean_Like_Rate_When_Both,Importance_Score,Category_1_Count,Category_2_Count,Union_Count,Jaccard_Unweighted,Jaccard_Weighted,Jaccard_Difference,Mean_Like_Rate_Only_Cat1,Mean_Like_Rate_Only_Cat2
ask a genuine question,ask a rhetorical question,Comment_ask a genuine question,Comment_ask a rhetorical question,21,0.5841446453407511,0.014634098801285203,0.008548430454158255,222,413,614,0.03420195439739414,0.032890087238787266,-0.001311867158606872,0.012918390947449461,0.016428104544102467
ask a genuine question,provide a fact or claim,Comment_ask a genuine question,Comment_provide a fact or claim,109,3.031988873435327,0.01338424728298068,0.04058088884130443,222,2345,2458,0.04434499593165175,0.03849168560729756,-0.00585331032435419,0.012787873463888823,0.01565176203319118
ask a genuine question,provide an observation,Comment_ask a genuine question,Comment_provide an observation,57,1.5855354659248957,0.012265173805103512,0.019446868063724622,222,1475,1640,0.03475609756097561,0.024623997538972583,-0.01013210002200303,0.013362410596202611,0.017974402652183794
ask a genuine question,express their opinion,Comment_ask a genuine question,Comment_express their opinion,168,4.6731571627260085,0.013121535872961382,0.06131899935069575,222,2937,2991,0.05616850551654965,0.041558074414240684,-0.014610431102308967,0.012953604233459615,0.01810775559454398
ask a genuine question,express others opinions,Comment_ask a genuine question,Comment_express others opinions,15,0.4172461752433936,0.022979253758789158,0.009588005740802152,222,433,640,0.0234375,0.03617365306095484,0.012736153060954838,0.012363400236147315,0.01584882890358963
ask a genuine question,money aid allocation,Comment_ask a genuine question,Critique_money aid allocation,46,1.2795549374130737,0.012474373979005941,0.01596164681597422,222,608,784,0.058673469387755105,0.04458209372196129,-0.014091375665793812,0.013239155978579876,0.01773523781470459
ask a genuine question,government critique,Comment_ask a genuine question,Critique_government critique,77,2.141863699582754,0.013651625498142302,0.029239921094769326,222,1180,1325,0.05811320754716981,0.045312535130294006,-0.012800672416875804,0.012777499944188786,0.018399294229478745
ask a genuine question,societal critique,Comment_ask a genuine question,Critique_societal critique,93,2.58692628650904,0.012837856038934411,0.03321058724953825,222,1721,1850,0.05027027027027027,0.03750333183722972,-0.012766938433040553,0.013255752276305668,0.017770975495433123
ask a genuine question,solutions/interventions,Comment_ask a genuine question,Response_solutions/interventions,52,1.4464534075104312,0.008245146118244237,0.011926219698155782,222,792,962,0.05405405405405406,0.03381540373005767,-0.02023865032399639,0.014559794453621358,0.013209668965316992
ask a genuine question,personal interaction,Comment_ask a genuine question,Perception_personal interaction,45,1.2517385257301807,0.014729821068954983,0.018437884509123065,222,712,889,0.05061867266591676,0.0430969560977691,-0.0075217165681476655,0.012661416424640436,0.018705155386705034
ask a genuine question,media portrayal,Comment_ask a genuine question,Perception_media portrayal,13,0.3616133518776078,0.013101666266223229,0.004737737453710764,222,348,557,0.02333931777378815,0.017510029267299453,-0.005829288506488697,0.013079382745470953,0.020367704365198358
ask a genuine question,not in my backyard,Comment_ask a genuine question,Perception_not in my backyard,12,0.3337969401947149,0.008246623198087182,0.0027526975904602555,222,263,473,0.02536997885835095,0.014095046768999368,-0.011274932089351583,0.013356919889939452,0.01640223200064576
ask a genuine question,harmful generalization,Comment_ask a genuine question,Perception_harmful generalization,55,1.52990264255911,0.016143159354425313,0.0246974621555881,222,1414,1581,0.03478810879190386,0.031334911898411234,-0.0034531968934926258,0.01207208916629305,0.018713067194929576
ask a genuine question,deserving/undeserving,Comment_ask a genuine question,Perception_deserving/undeserving,54,1.502086230876217,0.012917619995664122,0.019403379131178376,222,649,817,0.06609547123623011,0.050855976298268976,-0.015239494937961132,0.01313310223510993,0.01817193999648698
ask a genuine question,racist,Comment_ask a genuine question,Racist_Flag,0,0.0,0.0,0.0,222,6,228,0.0,0.0,0.0,0.013080687636325817,0.0
ask a rhetorical question,ask a genuine question,Comment_ask a rhetorical question,Comment_ask a genuine question,21,0.5841446453407511,0.014634098801285203,0.008548430454158255,413,222,614,0.03420195439739414,0.032890087238787266,-0.001311867158606872,0.016428104544102467,0.012918390947449461
ask a rhetorical question,provide a fact or claim,Comment_ask a rhetorical question,Comment_provide a fact or claim,251,6.98191933240612,0.020404183300183655,0.14246036184551036,413,2345,2507,0.10011966493817312,0.1344851058452816,0.03436544090710847,0.010035080541784312,0.014964074905307673
ask a rhetorical question,provide an observation,Comment_ask a rhetorical question,Comment_provide an observation,88,2.447844228094576,0.011169494712044618,0.027341183161611306,413,1475,1800,0.04888888888888889,0.030763192771413605,-0.018125696117475287,0.01773605391216994,0.018171522950993217
ask a rhetorical question,express their opinion,Comment_ask a rhetorical question,Comment_express their opinion,392,10.90403337969402,0.016510037474623707,0.18002599972329605,413,2937,2958,0.13252197430696416,0.12299384266171765,-0.009528131645246518,0.01310468409822206,0.018024698851826053
ask a rhetorical question,express others opinions,Comment_ask a rhetorical question,Comment_express others opinions,23,0.6397774687065368,0.021217636808981775,0.013574565969585003,413,433,823,0.027946537059538274,0.036890115970223826,0.008943578910685552,0.01604904463976558,0.01580852107677005
ask a rhetorical question,money aid allocation,Comment_ask a rhetorical question,Critique_money aid allocation,117,3.2545201668984705,0.021497368316722033,0.06996361872201608,413,608,904,0.12942477876106195,0.17025638283691785,0.0408316040758559,0.014297097848171209,0.016345891571979174
ask a rhetorical question,government critique,Comment_ask a rhetorical question,Critique_government critique,226,6.286509040333797,0.01936816967788711,0.12175817377475624,413,1180,1367,0.16532553035844916,0.18457134632538535,0.019245815966936197,0.012673404860495558,0.01778657269525108
ask a rhetorical question,societal critique,Comment_ask a rhetorical question,Critique_societal critique,246,6.8428372739916545,0.01647856224976758,0.11276011998450138,413,1721,1888,0.13029661016949154,0.12351964509218862,-0.006776965077302924,0.016128184087858266,0.01767548637609708
ask a rhetorical question,solutions/interventions,Comment_ask a rhetorical question,Response_solutions/interventions,57,1.5855354659248957,0.0204022445793936,0.03234848236510251,413,792,1148,0.04965156794425087,0.07365845762011035,0.024006889675859476,0.015685969424409328,0.012300645838718151
ask a rhetorical question,personal interaction,Comment_ask a rhetorical question,Perception_personal interaction,24,0.6675938803894298,0.006888831744587241,0.004598941915718881,413,712,1101,0.021798365122615803,0.008383563871491204,-0.013414801251124599,0.01691979715744232,0.018857338123786534
ask a rhetorical question,media portrayal,Comment_ask a rhetorical question,Perception_media portrayal,19,0.5285118219749653,0.018873294927928212,0.00997475948903021,413,348,742,0.025606469002695417,0.02679655062803231,0.0011900816253368925,0.01621456967635665,0.020166899757360836
ask a rhetorical question,not in my backyard,Comment_ask a rhetorical question,Perception_not in my backyard,48,1.3351877607788596,0.016805881618308965,0.022439007445864544,413,263,628,0.07643312101910828,0.07942623823488339,0.0029931172157751096,0.016275207502565277,0.015856918106326983
ask a rhetorical question,harmful generalization,Comment_ask a rhetorical question,Perception_harmful generalization,198,5.507649513212796,0.015116514649938156,0.08325646455320598,413,1414,1629,0.12154696132596685,0.09952684246198334,-0.0220201188639835,0.01746075886245303,0.0191824524520682
ask a rhetorical question,deserving/undeserving,Comment_ask a rhetorical question,Perception_deserving/undeserving,102,2.8372739916550764,0.017950306619238195,0.050929938112998493,413,649,960,0.10625,0.11146504379172235,0.005215043791722357,0.01580772276833717,0.01769456033366238
ask a rhetorical question,racist,Comment_ask a rhetorical question,Racist_Flag,0,0.0,0.0,0.0,413,6,419,0.0,0.0,0.0,0.01633688391311176,0.0
provide a fact or claim,ask a genuine question,Comment_provide a fact or claim,Comment_ask a genuine question,109,3.031988873435327,0.01338424728298068,0.04058088884130443,2345,222,2458,0.04434499593165175,0.03849168560729756,-0.00585331032435419,0.01565176203319118,0.012787873463888823
provide a fact or claim,ask a rhetorical question,Comment_provide a fact or claim,Comment_ask a rhetorical question,251,6.98191933240612,0.020404183300183655,0.14246036184551036,2345,413,2507,0.10011966493817312,0.1344851058452816,0.03436544090710847,0.014964074905307673,0.010035080541784312
