category,f1_score,precision,recall,threshold,synthetic_added
ask a genuine question,0.225,0.1267605633802817,1.0,0.30000000000000004,0
ask a rhetorical question,0.0,0.0,0.0,0.5,0
provide a fact or claim,0.9635036496350365,0.9850746268656716,0.9428571428571428,0.75,0
provide an observation,0.0,0.0,0.0,0.5,0
express their opinion,0.45901639344262296,0.7368421052631579,0.3333333333333333,0.55,0
express others opinions,0.0,0.0,0.0,0.5,0
money aid allocation,0.36619718309859156,0.23636363636363636,0.8125,0.35000000000000003,0
government critique,0.17391304347826086,0.11764705882352941,0.3333333333333333,0.35000000000000003,0
societal critique,0.0,0.0,0.0,0.5,0
solutions/interventions,0.10526315789473684,1.0,0.05555555555555555,0.5,0
personal interaction,0.0,0.0,0.0,0.5,0
media portrayal,0.0,0.0,0.0,0.5,0
not in my backyard,0.12987012987012986,0.06944444444444445,1.0,0.25,0
harmful generalization,0.0,0.0,0.0,0.5,0
deserving/undeserving,0.07894736842105263,0.0410958904109589,1.0,0.25,0
racist,0.0,0.0,0.0,0.5,0
